,,,Mortality,,Morbidity,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank
22000,Louisiana,,,,,,,,,,,,,
22001,Louisiana,Acadia,0.42,54,0.17,44,-0.02,24,-0.06,19,-0.01,37,-0.05,10
22003,Louisiana,Allen,-0.67,6,0.25,48,0.02,33,0.03,41,-0.05,31,-0.02,21
22005,Louisiana,Ascension,-0.61,8,-0.40,10,-0.26,5,-0.05,21,-0.38,3,0.13,64
22007,Louisiana,Assumption,-0.41,13,0.40,57,-0.01,25,-0.04,28,0.16,49,-0.04,13
22009,Louisiana,Avoyelles,0.21,45,0.27,49,0.14,50,-0.04,26,0.19,52,-0.05,5
22011,Louisiana,Beauregard,0.16,44,-0.24,15,-0.01,26,0.08,48,-0.23,10,-0.04,14
22013,Louisiana,Bienville,0.07,37,0.16,41,0.24,62,0.04,44,0.02,40,0.01,48
22015,Louisiana,Bossier,-0.74,2,-0.30,12,-0.07,19,-0.11,13,-0.30,6,0.02,49
22017,Louisiana,Caddo,0.01,35,0.09,38,-0.20,10,-0.23,2,0.14,47,0.08,59
22019,Louisiana,Calcasieu,0.04,36,-0.19,22,0.03,39,-0.16,6,-0.21,14,0.06,56
22021,Louisiana,Caldwell,-0.17,26,-0.46,6,-0.05,22,0.17,61,-0.04,33,-0.02,20
22023,Louisiana,Cameron,-0.69,5,-0.50,5,-0.31,4,0.10,51,-0.27,8,-0.02,23
22025,Louisiana,Catahoula,0.08,38,0.69,64,0.03,36,0.13,55,0.20,53,-0.02,26
22027,Louisiana,Claiborne,-0.08,31,-0.22,17,0.01,31,0.00,35,0.10,44,0.08,58
22029,Louisiana,Concordia,0.75,59,0.43,61,0.04,40,0.02,40,0.29,56,-0.01,35
22031,Louisiana,De Soto,-0.04,33,0.38,55,0.16,55,0.11,52,0.10,43,0.11,63
22033,Louisiana,East Baton Rouge,-0.28,23,-0.20,18,-0.33,2,-0.17,4,-0.20,15,0.08,61
22035,Louisiana,East Carroll,1.22,63,0.09,37,0.22,59,0.07,46,0.70,64,-0.01,33
22037,Louisiana,East Feliciana,0.67,58,-0.24,16,0.15,53,-0.01,33,-0.10,24,-0.03,18
22039,Louisiana,Evangeline,0.08,39,0.49,63,0.09,46,0.02,39,0.08,41,-0.08,1
22041,Louisiana,Franklin,0.28,47,0.21,45,0.33,64,0.10,50,0.37,59,0.01,42
22043,Louisiana,Grant,0.13,41,0.03,31,0.05,41,0.08,49,-0.06,29,-0.01,34
22045,Louisiana,Iberia,-0.16,27,0.03,32,0.03,37,-0.15,7,-0.07,27,-0.05,9
22047,Louisiana,Iberville,0.40,53,0.33,52,0.02,35,-0.13,12,0.13,46,0.05,54
22049,Louisiana,Jackson,-0.36,16,0.03,33,-0.03,23,0.17,60,-0.19,16,0.01,47
22051,Louisiana,Jefferson,-0.31,21,-0.27,14,-0.26,6,-0.14,8,-0.16,18,0.01,41
22053,Louisiana,Jefferson Davis,0.23,46,0.31,50,0.24,61,-0.03,29,-0.21,13,-0.03,16
22055,Louisiana,Lafayette,-0.59,9,-0.42,8,-0.32,3,-0.17,5,-0.38,2,-0.02,24
22057,Louisiana,Lafourche,-0.76,1,-0.20,19,-0.08,17,-0.07,18,-0.29,7,-0.02,22
22059,Louisiana,La Salle,-0.32,20,-0.45,7,-0.14,12,0.22,62,-0.24,9,-0.05,8
22061,Louisiana,Lincoln,-0.42,12,-0.35,11,-0.22,9,0.04,43,-0.22,12,0.08,57
22063,Louisiana,Livingston,-0.24,25,-0.28,13,0.01,32,0.06,45,-0.34,5,-0.03,19
22065,Louisiana,Madison,1.50,64,0.32,51,0.19,57,-0.02,32,0.53,61,-0.01,28
22067,Louisiana,Morehouse,0.47,55,0.39,56,0.14,52,-0.02,31,0.54,62,0.04,52
22069,Louisiana,Natchitoches,0.11,40,0.11,39,-0.12,14,-0.02,30,0.16,50,0.01,43
22071,Louisiana,Orleans,0.93,62,0.24,47,-0.19,11,-0.25,1,0.58,63,0.04,53
22073,Louisiana,Ouachita,-0.37,14,-0.08,26,-0.14,13,-0.14,9,-0.02,35,0.05,55
22075,Louisiana,Plaquemines,-0.55,10,-0.20,20,-0.10,16,-0.01,34,-0.18,17,0.00,37
22077,Louisiana,Pointe Coupee,-0.31,22,-0.12,24,-0.01,29,-0.05,20,0.01,39,0.01,45
22079,Louisiana,Rapides,-0.01,34,-0.03,28,-0.06,20,-0.19,3,-0.12,22,-0.01,32
22081,Louisiana,Red River,0.40,50,-0.05,27,0.14,51,0.14,56,0.28,55,0.00,39
22083,Louisiana,Richland,0.40,52,0.12,40,0.18,56,0.01,38,0.09,42,-0.01,30
22085,Louisiana,Sabine,-0.33,18,0.23,46,0.03,38,0.15,57,-0.09,25,-0.05,11
22087,Louisiana,St. Bernard,0.80,60,0.41,59,0.07,43,0.29,63,0.21,54,0.00,38
22089,Louisiana,St. Charles,-0.36,17,-0.42,9,-0.01,28,-0.04,25,-0.37,4,0.03,50
