Year,FIPS,State,County,Year,health_outcomes_rank,health_factors_rank,life_length_rank,life_quality_rank,health_behav_rank,clinical_care_rank,socio_econ_fact_rank,physical_env_rank,premature_deaths,premature_death_ypll_rate,ypll_black,ypll_hispanic,ypll_white,life_expectancy,life_expectancy_black,life_expectancy_hispanic,life_expectancy_white,poor_or_fair_health_percent,poor_physical_health_days_avg,adult_smoking_percent,excessive_drinking_percent,adult_obesity_percent,food_env_index,uninsured_percent,number_of_diabetics,percent_receiving_hba1c,percent_receiving_hba1c_black,percent_receiving_hba1c_white,AFGR,hs_grad_rate,PSED_completion_rate,unemployed_percent,income_inequality_GINI,income_ineq_80th_percentile_income,income_ineq_20th_percentile_income,income_ineq_income_ratio,percent_no_emo_social_support,percent_access_healthy_food_access,percent_limited_access_healthy_food_access,percent_food_insecure,percent_fast_food,access_exercise_opp_percent,access_rec_fac_rate,park_access_percent,diabetic_percent,binge_drinking_percent,physical_inactivity_percent,median_household_income,res_segregation_index_black_white,res_segregation_index_nonwh_white,liquor_store_density_rate,african_american_percent,american_indian_percent,asian_percent,pacific_islander_percent,hispanic_percent,nonhispanic_white_percent,not_eng_prof_percent,female,rural
2010,22000,Louisiana,,2010,,,,,,,,,64349,10807,,,,,,,,19,3.6,23,14,31,,21,38300,75,,,60,,20,5,48,,,,23,38,,,,,,,,14,,,,,0.4,,,,,,,,,
2010,22001,Louisiana,Acadia,2010,51,24,54,44,24,19,37,10,1015,12483,,,,,,,,22,4.1,24,16,30,,19,999,77,,,60,,10,4,47,,,,30,45,,,,,,,,16,,,,,0,,,,,,,,,
2010,22003,Louisiana,Allen,2010,23,29,6,48,33,41,31,21,309,8831,,,,,,,,22,5.2,23,13,31,,19,253,72,,,72,,10,6,45,,,,,38,,,,,,,,13,,,,,0.4,,,,,,,,,
2010,22005,Louisiana,Ascension,2010,6,4,8,10,5,21,3,64,990,9027,,,,,,,,18,3.3,21,18,28,,20,573,70,,,79,,19,4,42,,,,21,36,,,,,,,,18,,,,,0.6,,,,,,,,,
2010,22007,Louisiana,Assumption,2010,33,37,13,57,25,28,49,13,303,9694,,,,,,,,24,4.4,24,10,31,,19,257,82,,,50,,8,6,48,,,,24,67,,,,,,,,10,,,,,0,,,,,,,,,
2010,22009,Louisiana,Avoyelles,2010,46,49,45,49,50,26,52,5,702,11794,,,,,,,,25,4.5,28,8,31,,17,434,76,,,57,,9,6,46,,,,26,50,,,,,,,,8,,,,,0,,,,,,,,,
2010,22011,Louisiana,Beauregard,2010,30,22,44,15,26,48,10,14,558,11621,,,,,,,,23,4.2,26,13,30,,25,388,76,,,77,,13,5,43,,,,19,43,,,,,,,,13,,,,,0,,,,,,,,,
2010,22013,Louisiana,Bienville,2010,40,51,37,41,62,44,40,48,276,11318,,,,,,,,25,3.4,27,14,33,,23,185,77,,,80,,13,6,47,,,,22,25,,,,,,,,14,,,,,0.7,,,,,,,,,
2010,22015,Louisiana,Bossier,2010,4,8,2,12,19,13,6,49,1330,8585,,,,,,,,15,3.2,29,15,27,,20,1026,77,,,73,,21,4,42,,,,20,45,,,,,,,,15,,,,,0.9,,,,,,,,,
2010,22017,Louisiana,Caddo,2010,36,20,35,38,10,2,47,59,3822,11120,,,,,,,,17,3.4,21,11,28,,20,2463,77,,,58,,22,5,50,,,,24,23,,,,,,,,11,,,,,1.1,,,,,,,,,
2010,22019,Louisiana,Calcasieu,2010,27,16,36,22,39,6,14,56,2835,11200,,,,,,,,17,3.7,24,15,32,,20,2163,81,,,66,,18,4,47,,,,20,38,,,,,,,,15,,,,,0.3,,,,,,,,,
2010,22021,Louisiana,Caldwell,2010,15,36,26,6,22,61,33,20,178,10504,,,,,,,,18,4.3,25,,29,,27,175,76,,,59,,10,5,47,,,,,25,,,,,,,,,,,,,0,,,,,,,,,
2010,22023,Louisiana,Cameron,2010,3,6,5,5,4,51,8,23,131,8750,,,,,,,,21,1.9,19,13,30,,35,50,86,,,71,,10,4,43,,,,,25,,,,,,,,13,,,,,0,,,,,,,,,
2010,22025,Louisiana,Catahoula,2010,55,53,38,64,36,55,53,26,174,11349,,,,,,,,28,5.3,24,6,31,,25,136,67,,,67,,11,6,48,,,,,17,,,,,,,,6,,,,,0,,,,,,,,,
2010,22027,Louisiana,Claiborne,2010,25,48,31,17,31,35,44,58,238,10824,,,,,,,,20,3.8,24,11,31,,21,211,79,,,64,,14,6,49,,,,18,20,,,,,,,,11,,,,,1.8,,,,,,,,,
2010,22029,Louisiana,Concordia,2010,60,52,59,61,40,40,56,35,375,13581,,,,,,,,20,4.2,21,16,32,,18,259,66,,,71,,11,7,46,,,,23,33,,,,,,,,16,,,,,0.5,,,,,,,,,
2010,22031,Louisiana,De Soto,2010,42,56,33,55,55,52,43,63,419,10935,,,,,,,,23,3.8,27,16,31,,25,322,63,,,72,,14,7,48,,,,24,11,,,,,,,,16,,,,,2.3,,,,,,,,,
2010,22033,Louisiana,East Baton Rouge,2010,19,3,23,18,2,4,15,61,5284,10121,,,,,,,,15,3.1,20,14,28,,20,2618,77,,,65,,32,4,49,,,,24,33,,,,,,,,14,,,,,0.2,,,,,,,,,
2010,22035,Louisiana,East Carroll,2010,63,64,63,37,59,46,64,33,157,15184,,,,,,,,20,2.7,,5,34,,12,142,51,,,72,,14,10,49,,,,,33,,,,,,,,5,,,,,0,,,,,,,,,
2010,22037,Louisiana,East Feliciana,2010,45,33,58,16,53,33,24,18,398,13318,,,,,,,,18,2.9,25,12,33,,21,188,74,,,68,,12,5,42,,,,19,33,,,,,,,,12,,,,,0,,,,,,,,,
2010,22039,Louisiana,Evangeline,2010,50,43,39,63,46,39,41,1,564,11360,,,,,,,,25,4.9,28,15,30,,15,317,61,,,58,,11,5,47,,,,22,63,,,,,,,,15,,,,,0,,,,,,,,,
2010,22041,Louisiana,Franklin,2010,47,63,47,45,64,50,59,42,352,12007,,,,,,,,24,4.1,31,10,32,,21,327,73,,,55,,10,7,46,,,,20,25,,,,,,,,10,,,,,0.5,,,,,,,,,
2010,22043,Louisiana,Grant,2010,37,38,41,31,41,49,29,34,294,11528,,,,,,,,22,4.8,31,12,29,,26,241,75,,,67,,12,5,46,,,,,33,,,,,,,,12,,,,,0.5,,,,,,,,,
2010,22045,Louisiana,Iberia,2010,28,18,27,32,37,7,27,9,1024,10532,,,,,,,,24,3.9,23,14,31,,18,886,81,,,60,,13,4,45,,,,27,71,,,,,,,,14,,,,,0.1,,,,,,,,,
2010,22047,Louisiana,Iberville,2010,53,39,53,52,35,12,46,54,589,12431,,,,,,,,22,4,21,11,32,,16,268,74,,,52,,12,7,44,,,,21,56,,,,,,,,11,,,,,0,,,,,,,,,
2010,22049,Louisiana,Jackson,2010,24,26,16,33,23,60,16,47,237,9858,,,,,,,,22,5.1,29,3,28,,22,205,74,,,70,,15,5,47,,,,19,25,,,,,,,,3,,,,,0.7,,,,,,,,,
