"","health_outcomes_rank","health_factors_rank","life_length_rank","life_quality_rank","health_behav_rank","clinical_care_rank","socio_econ_fact_rank","physical_env_rank","County"
"1",8.14285714285714,4.28571428571429,8.57142857142857,7.14285714285714,4.28571428571429,3.57142857142857,6.14285714285714,2.28571428571429,1
"2",4.14285714285714,5,1.71428571428571,7.71428571428571,5.57142857142857,6.71428571428571,5.28571428571429,3.85714285714286,2
"3",1.71428571428571,1.42857142857143,2,2.28571428571429,1.57142857142857,3.85714285714286,1.28571428571429,10,3
"4",5.57142857142857,6.14285714285714,2.71428571428571,9,4.42857142857143,4.85714285714286,7.85714285714286,2.71428571428571,4
"5",7.42857142857143,7.85714285714286,7.28571428571429,7.85714285714286,8,4.57142857142857,8.28571428571428,1.57142857142857,5
"6",5.14285714285714,4,7.14285714285714,3,4.57142857142857,7.71428571428571,2.28571428571429,2.85714285714286,6
"7",6.57142857142857,8.14285714285714,6.14285714285714,6.71428571428571,9.71428571428571,7.14285714285714,6.57142857142857,7.71428571428571,7
"8",1.42857142857143,2,1.14285714285714,2.57142857142857,3.57142857142857,2.71428571428571,1.71428571428571,7.85714285714286,8
"9",6,3.71428571428571,5.85714285714286,6.28571428571429,2.28571428571429,1.14285714285714,7.57142857142857,9.28571428571428,9
"10",4.71428571428571,3.14285714285714,6,4,6.42857142857143,1.71428571428571,2.85714285714286,8.85714285714286,10
"11",3,6,4.57142857142857,1.71428571428571,4,9.57142857142857,5.57142857142857,3.71428571428571,11
"12",1.28571428571429,1.71428571428571,1.57142857142857,1.57142857142857,1.42857142857143,8.14285714285714,2,4.14285714285714,12
"13",8.71428571428571,8.42857142857143,6.28571428571429,10,6,8.71428571428571,8.42857142857143,4.57142857142857,13
"14",4.42857142857143,7.71428571428571,5.28571428571429,3.28571428571429,5.28571428571429,5.85714285714286,7.14285714285714,9.14285714285714,14
"15",9.42857142857143,8.28571428571428,9.28571428571428,9.57142857142857,6.57142857142857,6.57142857142857,8.85714285714286,5.85714285714286,15
"16",6.85714285714286,8.85714285714286,5.57142857142857,8.71428571428571,8.71428571428571,8.28571428571428,7,9.85714285714286,16
"17",3.57142857142857,1.28571428571429,4.14285714285714,3.42857142857143,1.14285714285714,1.42857142857143,3,9.57142857142857,17
"18",9.85714285714286,10,9.85714285714286,6.14285714285714,9.28571428571428,7.42857142857143,10,5.57142857142857,18
"19",7.28571428571429,5.57142857142857,9.14285714285714,3.14285714285714,8.42857142857143,5.57142857142857,4.28571428571429,3.42857142857143,19
"20",8,7,6.42857142857143,9.85714285714286,7.42857142857143,6.42857142857143,6.71428571428571,1,20
"21",7.57142857142857,9.85714285714286,7.57142857142857,7.28571428571429,10,8,9.28571428571428,6.85714285714286,21
"22",6.14285714285714,6.28571428571429,6.71428571428571,5.28571428571429,6.71428571428571,7.85714285714286,5,5.71428571428571,22
"23",4.85714285714286,3.42857142857143,4.71428571428571,5.42857142857143,6.14285714285714,1.85714285714286,4.71428571428571,2.14285714285714,23
"24",8.42857142857143,6.42857142857143,8.42857142857143,8.28571428571428,5.85714285714286,2.57142857142857,7.42857142857143,8.57142857142857,24
"25",4.28571428571429,4.57142857142857,3.14285714285714,5.57142857142857,4.14285714285714,9.42857142857143,3.14285714285714,7.57142857142857,25
"26",3.14285714285714,1.57142857142857,3.85714285714286,2.85714285714286,1.71428571428571,2,3.42857142857143,6.71428571428571,26
"27",7.85714285714286,4.85714285714286,7.42857142857143,8,9.57142857142857,5,2.71428571428571,3.14285714285714,27
